country_name,country_code,year,inflation_pct,Region,IncomeGroup,avg_oil_price,oil_volatility,oil_price_shock_pct
India,IND,1987,8.80112581251833,South Asia,Lower middle income,18.5258125,0.9771904740040611,
India,IND,1988,9.38347186185335,South Asia,Lower middle income,14.905411764705883,1.468459651166875,-19.54246668152405
India,IND,1989,7.07428002942301,South Asia,Lower middle income,18.228228346456692,1.221590524726839,22.29268559771569
India,IND,1990,8.9712325027325,South Asia,Lower middle income,23.7614453125,7.742344065486249,30.35520984747202
India,IND,1991,13.8702461773683,South Asia,Lower middle income,20.04112840466926,1.9455431567698733,-15.6569470371132
India,IND,1992,11.7878170418134,South Asia,Lower middle income,19.319727626459144,1.13511680451743,-3.599601597493085
India,IND,1993,6.32689048779867,South Asia,Lower middle income,17.013412698412697,1.5297410986835154,-11.937616164359666
India,IND,1994,10.2479355556119,South Asia,Lower middle income,15.856388888888889,1.3752209730283032,-6.800656811385974
India,IND,1995,10.2248861637544,South Asia,Lower middle income,17.01584980237154,0.9250970397243246,7.312263350800663
India,IND,1996,8.97715233826453,South Asia,Lower middle income,20.6398031496063,2.26981837492957,21.297516076626867
India,IND,1997,7.16425211462724,South Asia,Lower middle income,19.10850806451613,1.7775509103260878,-7.419136093453393
India,IND,1998,13.2308389767977,South Asia,Lower middle income,12.75810276679842,1.5770910650600745,-33.23339151479965
India,IND,1999,4.66982038037594,South Asia,Lower middle income,17.90156626506024,5.033201575681029,40.31526938039036
India,IND,2000,4.0094359104519,South Asia,Lower middle income,28.66067193675889,3.4001378273714224,60.10147666630692
India,IND,2001,3.77929312235637,South Asia,Lower middle income,24.455719844357976,3.4134130485419196,-14.671505614660186
India,IND,2002,4.29715203929563,South Asia,Lower middle income,24.993254901960782,2.9409877006273932,2.197993193509773
India,IND,2003,3.80585899528851,South Asia,Lower middle income,28.850813953488373,2.48348312657046,15.43440046788367
India,IND,2004,3.76725173477515,South Asia,Lower middle income,38.25969348659004,5.64411837343802,32.612180537679535
India,IND,2005,4.24634362031922,South Asia,Lower middle income,54.57455252918288,6.162393246267564,42.64241962186961
India,IND,2006,5.79652337561634,South Asia,Lower middle income,65.16176470588235,5.872261065650846,19.399540053100985
India,IND,2007,6.37288135593231,South Asia,Lower middle income,72.44116,11.755878502769892,11.171267885353187
India,IND,2008,8.34926704907581,South Asia,Lower middle income,96.94434782608695,28.896931128416412,33.82495231452252
India,IND,2009,10.8823529411764,South Asia,Lower middle income,61.73876984126984,12.342228569038946,-36.31524557571325
India,IND,2010,11.9893899204244,South Asia,Lower middle income,79.60944444444445,5.79403014727218,28.945627924106752
India,IND,2011,8.91179336483371,South Asia,Lower middle income,111.26427419354839,7.072361117672403,39.76265626523032
India,IND,2012,9.47899691419801,South Asia,Lower middle income,111.57068273092369,8.08292001092221,0.2753880700666622
India,IND,2013,10.0178784746102,South Asia,Lower middle income,108.555,4.6409331130024345,-2.702934729006401
India,IND,2014,6.66565671867899,South Asia,Lower middle income,98.9696062992126,14.812430358486727,-8.829988209467466
India,IND,2015,4.90697344127256,South Asia,Lower middle income,52.31654901960784,7.967330875029214,-47.1387722191797
India,IND,2016,4.94821634062141,South Asia,Lower middle income,43.638000000000005,6.702819150695403,-16.58853495163678
India,IND,2017,3.32817337461298,South Asia,Lower middle income,54.1248046875,5.335252935266712,24.03135956620377
India,IND,2018,3.9388264669163,South Asia,Lower middle income,71.335,6.90518671620525,31.797242339933373
India,IND,2019,3.72950573539129,South Asia,Lower middle income,64.30062256809337,4.364147745940202,-9.861046375421068
India,IND,2020,6.62343677628535,South Asia,Lower middle income,41.95725490196079,12.002214047460932,-34.74829134425767
India,IND,2021,5.13140747176369,South Asia,Lower middle income,70.85533596837945,8.031022957742607,68.87505184489125
India,IND,2022,6.69903414079852,South Asia,Lower middle income,100.93130952380952,13.447419792477959,42.44701283873955
India,IND,2023,5.64914318907925,South Asia,Lower middle income,82.49386454183266,6.118380684918002,-18.267319693922623
India,IND,2024,4.95303550973656,South Asia,Lower middle income,80.52185039370079,5.427296559605815,-2.390497958950466
